Date,measurement,measurement_units,code_number,time_series_code,Code,Description,Frequency,Start Date,End Date,Type Description,number_of_ts,timeseries_position,category,sub_category
1960/10,235,R_millions,1000,KBP1000M,KBP1000,South African Reserve Bank liabilities: Notes and coin in circulation,Monthly,1960/01,2017/06,",",2,2,South African Reserve Bank liabilities, Notes and coin in circulation
1960/11,235,R_millions,1000,KBP1000M,KBP1000,South African Reserve Bank liabilities: Notes and coin in circulation,Monthly,1960/01,2017/06,",",2,2,South African Reserve Bank liabilities, Notes and coin in circulation
1960/12,243,R_millions,1000,KBP1000M,KBP1000,South African Reserve Bank liabilities: Notes and coin in circulation,Monthly,1960/01,2017/06,",",2,2,South African Reserve Bank liabilities, Notes and coin in circulation
1961/01,224,R_millions,1000,KBP1000M,KBP1000,South African Reserve Bank liabilities: Notes and coin in circulation,Monthly,1960/01,2017/06,",",2,2,South African Reserve Bank liabilities, Notes and coin in circulation
1961/02,221,R_millions,1000,KBP1000M,KBP1000,South African Reserve Bank liabilities: Notes and coin in circulation,Monthly,1960/01,2017/06,",",2,2,South African Reserve Bank liabilities, Notes and coin in circulation
1961/03,227,R_millions,1000,KBP1000M,KBP1000,South African Reserve Bank liabilities: Notes and coin in circulation,Monthly,1960/01,2017/06,",",2,2,South African Reserve Bank liabilities, Notes and coin in circulation
1961/04,229,R_millions,1000,KBP1000M,KBP1000,South African Reserve Bank liabilities: Notes and coin in circulation,Monthly,1960/01,2017/06,",",2,2,South African Reserve Bank liabilities, Notes and coin in circulation
1961/05,230,R_millions,1000,KBP1000M,KBP1000,South African Reserve Bank liabilities: Notes and coin in circulation,Monthly,1960/01,2017/06,",",2,2,South African Reserve Bank liabilities, Notes and coin in circulation
1961/06,236,R_millions,1000,KBP1000M,KBP1000,South African Reserve Bank liabilities: Notes and coin in circulation,Monthly,1960/01,2017/06,",",2,2,South African Reserve Bank liabilities, Notes and coin in circulation
1961/07,237,R_millions,1000,KBP1000M,KBP1000,South African Reserve Bank liabilities: Notes and coin in circulation,Monthly,1960/01,2017/06,",",2,2,South African Reserve Bank liabilities, Notes and coin in circulation
1961/08,239,R_millions,1000,KBP1000M,KBP1000,South African Reserve Bank liabilities: Notes and coin in circulation,Monthly,1960/01,2017/06,",",2,2,South African Reserve Bank liabilities, Notes and coin in circulation
1961/09,246,R_millions,1000,KBP1000M,KBP1000,South African Reserve Bank liabilities: Notes and coin in circulation,Monthly,1960/01,2017/06,",",2,2,South African Reserve Bank liabilities, Notes and coin in circulation
1961/10,239,R_millions,1000,KBP1000M,KBP1000,South African Reserve Bank liabilities: Notes and coin in circulation,Monthly,1960/01,2017/06,",",2,2,South African Reserve Bank liabilities, Notes and coin in circulation
1961/11,242,R_millions,1000,KBP1000M,KBP1000,South African Reserve Bank liabilities: Notes and coin in circulation,Monthly,1960/01,2017/06,",",2,2,South African Reserve Bank liabilities, Notes and coin in circulation
1961/12,255,R_millions,1000,KBP1000M,KBP1000,South African Reserve Bank liabilities: Notes and coin in circulation,Monthly,1960/01,2017/06,",",2,2,South African Reserve Bank liabilities, Notes and coin in circulation
1962/01,236,R_millions,1000,KBP1000M,KBP1000,South African Reserve Bank liabilities: Notes and coin in circulation,Monthly,1960/01,2017/06,",",2,2,South African Reserve Bank liabilities, Notes and coin in circulation
1962/02,236,R_millions,1000,KBP1000M,KBP1000,South African Reserve Bank liabilities: Notes and coin in circulation,Monthly,1960/01,2017/06,",",2,2,South African Reserve Bank liabilities, Notes and coin in circulation
1962/03,239,R_millions,1000,KBP1000M,KBP1000,South African Reserve Bank liabilities: Notes and coin in circulation,Monthly,1960/01,2017/06,",",2,2,South African Reserve Bank liabilities, Notes and coin in circulation
1962/04,244,R_millions,1000,KBP1000M,KBP1000,South African Reserve Bank liabilities: Notes and coin in circulation,Monthly,1960/01,2017/06,",",2,2,South African Reserve Bank liabilities, Notes and coin in circulation
