,Gold and Foreign Exchange Position ,,,,,,,,,,,,
,,,,,,,,,,,,,
,(TIME SERIES),,,,,,,,,,,,
,This time series represents the Gold and Foreign Exchange Position over a period of time published by the South African Reserve Bank and updated at the end of each month.,,,,,,,,,,,,
,Month-,Gold,Foreign,Gross,Foreign ,Gold,Foreign,Gross,Foreign ,Other,Forward,International,Exchange
,end,Reserves 1,Exchange,Reserves,Loans,Reserves 2,Exchange,Reserves,Loans,,Position,Liquidity,Rate
,,,Reserves,,Received,,Reserves,,Received,,,Position/,
,,,,,,,,,,,,Net Reserves,
,,R'Million,R'Million,R'Million,R'Million,$'Millions,$'Millions,$'Millions,$'Millions,$'Millions,$'Millions,$'Millions,Rand\USD
,,-1,-2,(1+2),-3,-4,-5,(4+5),-6,-7,-8,(4+5+6+7+8),
,2000-10-31, 10 607 , 46 155 , 56 762 , (19 621), -   , 6 100 , 6 100 , (2 593), 1 469 , (14 556), (9 580),7.5665
,2000-11-30, 11 009 , 47 034 , 58 043 , (20 071), -   , 6 087 , 6 087 , (2 598), 1 508 , (14 542), (9 544),7.7265
,2000-12-31, 10 982 , 46 023 , 57 005 , (19 639), -   , 6 082 , 6 082 , (2 596), 1 536 , (14 524), (9 501),7.5665
,,,,,,,,,,,,,
,2001-01-31, 10 923 , 47 598 , 58 521 , (20 175), -   , 6 109 , 6 109 , (2 589), 1 516 , (14 515), (9 480),7.7915
,2001-02-28, 10 712 , 47 240 , 57 952 , (19 946), -   , 6 150 , 6 150 , (2 597), 1 504 , (14 513), (9 456),7.6815
,2001-03-31, 11 027 , 49 318 , 60 345 , (20 766), -   , 6 160 , 6 160 , (2 594), 1 483 , (14 466), (9 417),8.0065
,2001-04-30, 11 074 , 49 102 , 60 176 , (20 711), -   , 6 140 , 6 141 , (2 590), 1 482 , (14 013), (8 981),7.9965
,2001-05-31, 11 612 , 48 575 , 60 187 , (20 663), -   , 6 063 , 6 063 , (2 579), 1 528 , (12 172), (7 161),8.0115
,2001-06-30, 11 583 , 48 851 , 60 434 , (20 778), -   , 6 051 , 6 051 , (2 574), 1 561 , (10 355), (5 317),8.0735
,2001-07-31, 11 593 , 50 109 , 61 702 , (20 738), -   , 6 069 , 6 069 , (2 512), 1 530 , (9 933), (4 846),8.2565
,2001-08-31, 12 079 , 50 749 , 62 828 , (33 585), -   , 6 039 , 6 039 , (3 997), 1 559 , (8 436), (4 835),8.4035
,2001-09-30, 13 700 , 53 847 , 67 547 , (35 786), -   , 6 005 , 6 005 , (3 991), 1 654 , (8 429), (4 761),8.9665
,2001-10-31, 13 691 , 57 265 , 70 956 , (37 788), -   , 6 052 , 6 052 , (3 994), 1 567 , (8 451), (4 825),9.4615
,2001-11-30, 14 656 , 63 070 , 77 726 , (41 505), -   , 6 069 , 6 069 , (3 994), 1 515 , (8 428), (4 838),10.3915
,2001-12-31, 17 302 , 73 289 , 90 591 , (48 217), -   , 6 044 , 6 044 , (3 976), 1 561 , (8 429), (4 801),12.1265
,,,,,,,,,,,,,
,2002-01-31, 16 441 , 68 817 , 85 258 , (28 254), -   , 6 031 , 6 031 , (2 476), 1 589 , (8 137), (2 994),11.4115
,2002-02-28, 17 365 , 68 804 , 86 169 , (28 391), -   , 6 012 , 6 012 , (2 481), 1 672 , (8 119), (2 915),11.4445
,2002-03-31, 17 477 , 68 260 , 85 737 , (28 297), -   , 5 992 , 5 992 , (2 484), 1 694 , (8 077), (2 875),11.3915
,2002-04-30, 16 871 , 63 647 , 80 518 , (26 469), -   , 5 974 , 5 974 , (2 485), 1 710 , (7 065), (1 866),10.6535
,2002-05-31, 16 309 , 57 880 , 74 189 , (24 323), -   , 5 923 , 5 923 , (2 489), 1 812 , (6 999), (1 754),9.7715
,2002-06-30, 17 186 , 61 131 , 78 317 , (25 806), -   , 5 900 , 5 900 , (2 491), 1 775 , (6 960), (1 775),10.3615
,2002-07-31, 15 830 , 60 786 , 76 616 , (25 174), -   , 5 979 , 5 979 , (2 476), 1 680 , (7 001), (1 818),10.1665
,2002-08-31, 16 526 , 63 242 , 79 768 , (26 293), -   , 5 968 , 5 968 , (2 481), 1 675 , (6 954), (1 791),10.5965
,2002-09-30, 17 165 , 62 923 , 80 088 , (26 301), -   , 5 949 , 5 949 , (2 487), 1 737 , (6 941), (1 742),10.5775
,2002-10-31, 15 942 , 59 975 , 75 917 , (25 052), -   , 5 964 , 5 964 , (2 491), 1 685 , (6 921), (1 763),10.0565
,2002-11-30, 14 814 , 55 225 , 70 039 , (23 112), -   , 5 961 , 5 961 , (2 495), 1 698 , (6 918), (1 754),9.265
,2002-12-31, 14 990 , 50 987 , 65 977 , (21 453), -   , 5 901 , 5 901 , (2 483), 1 832 , (6 868), (1 618),8.64
,,,,,,,,,,,,,
,2003-01-31, 15 630 , 50 566 , 66 196 , (21 383), -   , 5 890 , 5 890 , (2 491), 1 952 , (6 841), (1 489),8.585
,2003-02-28, 13 973 , 49 437 , 63 410 , (20 185), -   , 6 073 , 6 073 , (2 480), 1 806 , (6 800), (1 401),8.14
,2003-03-31, 12 816 , 48 314 , 61 130 , (19 654), -   , 6 085 , 6 085 , (2 475), 1 726 , (6 556), (1 220),7.94
,2003-04-30, 11 695 , 43 024 , 54 719 , (17 711), -   , 6 034 , 6 034 , (2 484), 1 772 , (6 308),-986,7.13
,2003-05-31, 14 676 , 48 355 , 63 031 , (20 017), -   , 6 003 , 6 003 , (2 485), 1 953 , (4 736),735,8.055
,2003-06-30, 9 313 , 48 551 , 57 864 , (22 152), -   , 6 473 , 6 473 , (2 954), 1 359 , (3 796), 1 082 ,7.5
,2003-07-31, 9 629 , 48 197 , 57 826 , (21 949), -   , 6 461 , 6 461 , (2 942), 1 406 , (4 058),867,7.46
,2003-08-31, 9 607 , 47 334 , 56 940 , (21 838), -   , 6 462 , 6 462 , (2 981), 1 495 , (3 532), 1 443 ,7.325
,2003-09-30, 9 608 , 45 032 , 54 640 , (20 904), -   , 6 461 , 6 461 , (2 999), 1 539 , (3 206), 1 794 ,6.97
,2003-10-31, 9 518 , 44 462 , 53 980 , (20 601), -   , 6 453 , 6 453 , (2 990), 1 541 , (2 315), 2 690 ,6.89
,2003-11-30, 9 045 , 41 428 , 50 473 , (19 184), -   , 6 468 , 6 468 , (2 995), 1 593 , (1 297), 3 769 ,6.405
,2003-12-31, 9 799 , 43 106 , 52 905 , (19 953), -   , 6 492 , 6 492 , (3 005), 1 668 ,-381, 4 774 ,6.64
,,,,,,,,,,,,,
,2004-01-31, 10 260 , 45 625 , 55 885 , (26 306), -   , 6 462 , 6 462 , (3 726), 1 582 ,-356, 3 962 ,7.06
,2004-02-28, 9 490 , 44 996 , 54 486 , (24 668), -   , 6 756 , 6 756 , (3 704), 1 560 ,38, 4 650 ,6.66
,2004-03-27, 9 576 , 52 665 , 62 241 , (23 773), -   , 8 268 , 8 268 , (3 732), 1 693 ,146, 6 375 ,6.37
,2004-04-24, 9 630 , 58 926 , 68 556 , (25 618), -   , 8 596 , 8 596 , (3 737), 1 544 ,11, 6 414 ,6.855
,2004-05-22, 9 069 , 57 787 , 66 856 , (24 354), -   , 8 890 , 8 890 , (3 747), 1 578 , 1 293 , 8 015 ,6.5
,2004-06-19, 8 955 , 61 278 , 70 233 , (23 408), -   , 9 773 , 9 773 , (3 737), 1 576 ,279, 7 890 ,6.27
,2004-07-17, 8 716 , 63 954 , 72 670 , (21 818), -   , 10 241 , 10 241 , (3 494), 1 556 ,72, 8 376 ,6.245
,2004-08-14, 9 728 , 69 509 , 79 237 , (23 382), -   , 10 405 , 10 405 , (3 500), 1 634 ,13, 8 551 ,6.68
,2004-09-11, 9 455 , 68 787 , 78 242 , (22 552), -   , 10 714 , 10 714 , (3 513), 1 663 ,169, 9 034 ,6.42
,2004-10-09, 9 368 , 69 230 , 78 598 , (21 403), -   , 11 302 , 11 302 , (3 494), 1 703 ,165, 9 675 ,6.125
,2004-11-06, 9 349 , 72 931 , 82 280 , (20 248), -   , 12 606 , 12 606 , (3 500), 1 816 ,96, 11 018 ,5.785
,2004-12-04, 8 887 , 73 962 , 82 849 , (19 687), -   , 13 137 , 13 137 , (3 497), 1 758 ,28, 11 426 ,5.63
,,,,,,,,,,,,,
,2005-01-31, 9 091 , 79 946 , 89 037 , (20 830), -   , 13 403 , 13 403 , (3 492), 1 706 ,43, 11 660 ,5.965
,2005-02-28, 9 020 , 80 402 , 89 421 , (20 263), -   , 13 863 , 13 863 , (3 494), 1 753 ,64, 12 187 ,5.8
,2005-03-31, 10 637 , 88 195 , 98 832 , (21 806), -   , 14 146 , 14 146 , (3 498), 1 722 ,11, 12 381 ,6.235
,2005-04-30, 10 516 , 87 232 , 97 748 , (21 264), -   , 14 301 , 14 301 , (3 486), 1 740 ,-16, 12 540 ,6.1
,2005-05-31, 11 096 , 104 202 , 115 298 , (23 357), -   , 15 517 , 15 517 , (3 478), 1 669 ,-8, 13 701 ,6.715
 ,2005-06-30, 11 599 , 112 486 , 124 085 , (23 241), -   , 16 915 , 16 915 , (3 495), 1 763 ,-8, 15 176 ,6.65
 ,2005-07-31, 11 343 , 113 575 , 124 918 , (23 219), -   , 17 143 , 17 143 , (3 505), 1 732 ,0, 15 371 ,6.625
 ,2005-08-31, 11 211 , 111 999 , 123 210 , (22 668), -   , 17 217 , 17 217 , (3 485), 1 743 ,25, 15 501 ,6.505
 ,2005-09-30, 12 007 , 112 094 , 124 101 , (22 246), -   , 17 624 , 17 624 , (3 498), 1 910 ,19, 16 056 ,6.36
